,Date,Open,High,Low,Close,Volume,Adj Close,ATR,SD_Log_Close,ATR_normalized,SD_normalized,Delta_Days
3136,2012-06-29,135.2,136.27,134.85,136.1,212250900,107.94,2.2300000000000018,0.01608454133785124,-0.28578882517579474,0.807981229951857,4552
3137,2012-07-02,136.48,136.65,135.52,136.51,129524500,108.26,1.8985714285714315,0.012371935206702642,-0.41668754010751585,0.3101532414863973,4555
3138,2012-07-03,136.48,137.51,136.34,137.41,80450000,108.97,1.884285714285714,0.012329207703725266,-0.42232972609595343,0.30442385729966204,4556
3139,2012-07-05,136.9,137.8,136.29,136.79,126177500,108.48,1.7271428571428575,0.009616152507159213,-0.48439377196875216,-0.059373099175325836,4558
3140,2012-07-06,135.47,135.77,134.85,135.49,151192100,107.45,1.797142857142859,0.011257409208419984,-0.4567470606254138,0.1607050597462411,4559
3141,2012-07-09,135.38,135.57,134.7,135.32,103780500,107.32,1.7128571428571442,0.011129208602305018,-0.490035957957188,0.14351448051220828,4562
3142,2012-07-10,136.01,136.23,133.68,134.14,167884800,106.38,1.807142857142858,0.01178788520413012,-0.4527975304335088,0.23183724790321286,4563
3143,2012-07-11,134.21,134.6,133.38,134.16,141733400,106.4,1.4842857142857124,0.00595435784163534,-0.5803109337721697,-0.5503877148160433,4564
3144,2012-07-12,133.38,134.23,132.6,133.51,143583200,105.88,1.5557142857142838,0.005570301819885668,-0.5521000038299884,-0.6018862659716798,4565
3145,2012-07-13,133.86,135.89,133.84,135.75,129642600,107.66,1.7285714285714278,0.008843723082668677,-0.48382955336990896,-0.16294912449064497,4566
3146,2012-07-16,135.44,135.83,134.9,135.43,97525200,107.4,1.645714285714283,0.00876763318202148,-0.5165542321028401,-0.17315211420827809,4569
3147,2012-07-17,135.97,136.64,134.55,136.36,138860300,108.14,1.6671428571428513,0.00841910650010086,-0.5080909531201869,-0.21988649185512116,4570
3148,2012-07-18,136.04,137.64,135.96,137.37,113349700,108.94,1.7828571428571334,0.008676851543375526,-0.46238924661385455,-0.1853251374055251,4571
3149,2012-07-19,137.65,138.18,137.21,137.73,129847300,109.23,1.5571428571428498,0.007240096088037642,-0.5515357852311469,-0.3779814690984185,4572
3150,2012-07-20,136.95,137.16,136.32,136.47,142904500,108.23,1.5842857142857067,0.008727079619714886,-0.540815631853118,-0.17858999197797149,4573
3151,2012-07-23,134.47,136.38,133.84,135.09,145210900,107.13,1.7271428571428495,0.00964834814856028,-0.48439377196875527,-0.05505594544830511,4576
3152,2012-07-24,135.19,135.25,133.03,133.93,173301200,106.21,1.704285714285707,0.00763566453109104,-0.49342126955025317,-0.3249392030057418,4577
3153,2012-07-25,134.21,134.56,133.25,133.96,129122300,106.24,1.7585714285714207,0.007673676923654825,-0.4719809627941956,-0.319842073857562,4578
3154,2012-07-26,135.89,136.46,135.26,136.17,156526500,107.99,1.817142857142853,0.00992436856807451,-0.4488480002416054,-0.018044022995963006,4579
3155,2012-07-27,136.89,139.07,136.14,138.68,236768900,109.98,1.9957142857142856,0.011954917656501949,-0.3783206753861504,0.25423483785358936,4580
3156,2012-07-30,138.52,139.34,138.27,138.68,106782000,109.98,2.009999999999999,0.011949819675720518,-0.3726784893977145,0.2535512432496904,4583
3157,2012-07-31,138.49,138.87,137.71,137.71,120575900,109.21,1.9742857142857133,0.01166658161127397,-0.38678395436880514,0.21557149778268286,4584
3158,2012-08-01,138.7,138.73,137.4,137.59,138293800,109.12,1.788571428571426,0.010628334915794653,-0.4601323722184773,0.0763517029316005,4585
3159,2012-08-02,136.55,137.57,135.58,136.64,199556600,108.36,1.758571428571425,0.010344947766549794,-0.47198096279419394,0.03835196649796952,4586
3160,2012-08-03,138.56,139.64,136.68,139.35,157825000,110.51,1.999999999999996,0.011991499805368875,-0.376628019589621,0.2591401838398956,4587
3161,2012-08-06,139.72,140.17,139.56,139.62,86326200,110.73,1.759999999999995,0.01104271980904919,-0.4714167441953509,0.13191709030964638,4590
3162,2012-08-07,140.18,140.92,140.03,140.32,109545100,111.28,1.5271428571428487,0.009062158737920226,-0.5633843758068635,-0.1336588149286742,4591
3163,2012-08-08,139.85,140.65,139.81,140.49,89754700,111.42,1.4942857142857073,0.009036277856363099,-0.5763614035802663,-0.13712921462908925,4592
3164,2012-08-09,140.29,140.89,140.15,140.61,90291700,111.51,1.434285714285705,0.008199229543889328,-0.6000585847316996,-0.24937006726117414,4593
3165,2012-08-10,140.04,140.89,139.81,140.84,99792700,111.69,1.3985714285714193,0.008056629395666438,-0.6141640497027903,-0.2684914990632369,4594
3166,2012-08-13,140.6,140.84,140.04,140.77,79426900,111.64,1.2257142857142793,0.006986772358582236,-0.6824345001628681,-0.4119499640613724,4597
3167,2012-08-14,141.29,141.38,140.37,140.79,102379400,111.65,0.9414285714285638,0.0017697640101419028,-0.7947140013327505,-1.1115051229351882,4598
3168,2012-08-15,140.64,141.19,140.55,140.95,71085900,111.78,0.9157142857142772,0.0017603820976797243,-0.8048699361119361,-1.11276315528336,4599
3169,2012-08-16,141.15,142.16,140.8,141.99,112014200,112.61,0.924285714285706,0.0025971278085884877,-0.8014846245188743,-1.0005628788726928,4600
3170,2012-08-17,142.23,142.3,141.86,142.18,90813700,112.76,0.867142857142848,0.002593675405222483,-0.8240533684726196,-1.0010258159477166,4601
3171,2012-08-20,141.98,142.22,141.59,142.19,78255700,112.76,0.8514285714285644,0.0026529183893938186,-0.8302597730598987,-0.9930818502807788,4604
3172,2012-08-21,142.54,143.09,141.45,141.76,105581100,112.42,0.9314285714285688,0.003175707390629331,-0.7986635315246539,-0.922980420804223,4605
3173,2012-08-22,141.4,142.05,141.07,141.82,133243500,112.47,0.9571428571428555,0.003125422713657253,-0.7885075967454681,-0.9297231558812403,4606
3174,2012-08-23,141.47,141.48,140.44,140.66,111466400,111.55,1.0099999999999991,0.004722469695266091,-0.7676315085882537,-0.71557313342971,4607
3175,2012-08-24,140.31,141.83,140.22,141.51,99481200,112.23,1.1485714285714315,0.005270891547990784,-0.7129023045004202,-0.6420345629140254,4608
